,ind_prod_sa,ind_prod_nsa,selic
2000-01-31,,,19.0
2000-02-29,,,19.0
2000-03-31,,,18.5
2000-04-30,,,18.5
2000-05-31,,,18.5
2000-06-30,,,17.5
2000-07-31,,,16.5
2000-08-31,,,16.5
2000-09-30,,,16.5
2000-10-31,,,16.5
2000-11-30,,,16.5
2000-12-31,,,15.75
2001-01-31,,,15.25
2001-02-28,,,15.25
2001-03-31,,,15.75
2001-04-30,,,16.25
2001-05-31,,,16.75
2001-06-30,,,18.25
2001-07-31,,,19.0
2001-08-31,,,19.0
2001-09-30,,,19.0
2001-10-31,,,19.0
2001-11-30,,,19.0
2001-12-31,,,19.0
2002-01-31,84.4,90.8,19.0
2002-02-28,81.2,92.7,18.75
2002-03-31,90.2,92.4,18.5
2002-04-30,92.8,92.6,18.5
2002-05-31,93.7,92.6,18.5
2002-06-30,90.3,92.8,18.5
2002-07-31,97.0,93.2,18.0
2002-08-31,97.4,92.3,18.0
2002-09-30,95.7,92.8,18.0
2002-10-31,103.9,93.1,21.0
2002-11-30,97.8,93.0,22.0
2002-12-31,86.9,92.8,25.0
2003-01-31,86.2,93.1,25.5
2003-02-28,83.6,92.6,26.5
2003-03-31,90.2,92.4,26.5
2003-04-30,89.2,92.3,26.5
2003-05-31,92.9,90.9,26.5
2003-06-30,88.9,91.4,26.0
2003-07-31,94.8,90.6,24.5
2003-08-31,95.1,91.8,22.0
2003-09-30,99.8,94.6,20.0
2003-10-31,104.9,95.0,19.0
2003-11-30,98.6,95.9,17.5
2003-12-31,90.7,94.6,16.5
2004-01-31,89.5,96.4,16.5
2004-02-29,86.3,97.9,16.5
2004-03-31,101.3,98.5,16.25
2004-04-30,95.8,99.2,16.0
2004-05-31,100.6,100.1,16.0
2004-06-30,100.4,100.5,16.0
2004-07-31,105.0,101.2,16.0
2004-08-31,107.4,102.2,16.0
2004-09-30,107.4,102.7,16.25
2004-10-31,108.9,102.1,16.75
2004-11-30,107.0,102.1,17.25
2004-12-31,98.7,102.8,17.75
2005-01-31,94.4,103.2,18.25
2005-02-28,89.0,101.8,18.75
2005-03-31,102.6,102.8,19.25
2005-04-30,101.4,102.9,19.5
2005-05-31,106.2,106.4,19.75
2005-06-30,106.5,104.2,19.75
2005-07-31,105.5,103.6,19.75
2005-08-31,111.4,103.7,19.75
2005-09-30,107.2,103.0,19.5
2005-10-31,109.2,102.5,19.0
2005-11-30,107.7,103.4,18.5
2005-12-31,100.9,105.2,18.0
2006-01-31,97.5,105.6,17.25
2006-02-28,93.5,106.4,17.25
2006-03-31,107.7,105.9,16.5
2006-04-30,99.8,106.3,15.75
2006-05-31,111.1,107.1,15.75
2006-06-30,106.2,105.7,15.25
2006-07-31,109.3,106.6,14.75
2006-08-31,114.9,106.4,14.25
2006-09-30,108.7,105.2,14.25
2006-10-31,113.6,106.2,13.75
2006-11-30,111.7,107.6,13.25
2006-12-31,101.3,108.2,13.25
2007-01-31,101.4,108.0,13.0
2007-02-28,96.2,109.4,13.0
2007-03-31,112.4,110.8,12.75
2007-04-30,105.6,111.9,12.5
2007-05-31,116.4,112.2,12.5
2007-06-30,112.9,112.9,12.0
2007-07-31,116.3,112.5,11.5
2007-08-31,122.3,114.2,11.5
2007-09-30,114.6,112.8,11.25
2007-10-31,125.7,116.2,11.25
2007-11-30,119.3,114.9,11.25
2007-12-31,107.9,115.3,11.25
2008-01-31,110.5,117.2,11.25
2008-02-29,106.1,116.9,11.25
2008-03-31,113.9,117.1,11.25
2008-04-30,115.6,117.2,11.75
2008-05-31,119.4,118.1,11.75
2008-06-30,120.3,119.6,12.25
2008-07-31,126.4,120.2,13.0
2008-08-31,124.6,118.8,13.0
2008-09-30,125.1,120.2,13.75
2008-10-31,126.3,117.0,13.75
2008-11-30,112.1,109.8,13.75
2008-12-31,92.2,97.7,13.75
2009-01-31,91.7,99.7,12.75
2009-02-28,88.6,102.0,12.75
2009-03-31,103.2,102.5,11.25
2009-04-30,99.3,103.9,10.25
2009-05-31,106.4,105.1,10.25
2009-06-30,107.4,106.7,9.25
2009-07-31,113.9,108.0,8.75
2009-08-31,116.1,109.7,8.75
2009-09-30,115.9,111.2,8.75
2009-10-31,123.1,113.7,8.75
2009-11-30,118.1,115.1,8.75
2009-12-31,109.6,115.6,8.75
2010-01-31,106.3,117.3,8.75
2010-02-28,103.7,117.1,8.75
2010-03-31,122.4,119.8,8.75
2010-04-30,115.7,120.2,9.5
2010-05-31,121.5,119.8,9.5
2010-06-30,119.4,119.4,10.25
2010-07-31,124.6,118.6,10.75
2010-08-31,126.0,118.3,10.75
2010-09-30,123.3,118.6,10.75
2010-10-31,125.5,118.2,10.75
2010-11-30,124.4,119.0,10.75
2010-12-31,112.5,119.6,10.75
2011-01-31,108.6,120.0,11.25
2011-02-28,111.2,121.4,11.25
2011-03-31,121.6,121.8,11.75
2011-04-30,113.6,118.7,12.0
2011-05-31,124.8,122.3,12.0
2011-06-30,119.8,120.1,12.25
2011-07-31,123.6,119.8,12.5
2011-08-31,129.1,119.0,12.5
2011-09-30,122.1,117.0,12.0
2011-10-31,123.8,115.8,11.5
2011-11-30,121.4,116.3,11.5
2011-12-31,111.5,119.4,11.0
2012-01-31,103.4,114.3,10.5
2012-02-29,104.7,115.2,10.5
2012-03-31,116.2,114.7,9.75
2012-04-30,108.1,114.6,9.0
2012-05-31,119.4,115.2,8.5
2012-06-30,114.5,115.4,8.5
2012-07-31,121.8,117.0,8.0
2012-08-31,130.0,119.5,7.5
2012-09-30,120.5,117.1,7.5
2012-10-31,130.3,118.9,7.25
2012-11-30,122.2,117.4,7.25
2012-12-31,107.5,118.1,7.25
2013-01-31,110.1,119.2,7.25
2013-02-28,102.6,115.7,7.25
2013-03-31,113.9,118.1,7.25
2013-04-30,118.7,120.0,7.5
2013-05-31,122.3,119.8,8.0
2013-06-30,118.5,120.2,8.0
2013-07-31,125.9,119.6,8.5
2013-08-31,130.6,119.9,9.0
2013-09-30,125.0,120.4,9.0
2013-10-31,131.2,119.1,9.5
2013-11-30,123.7,119.8,10.0
